,Sigma,Quantile,Acquisition Function,Optimal Sigma,Optimal Quantile,3D Porosity Diff(%),"2D Porosity Diff(10,%)","Specific Area Diff(10,%)"
0,0.82,0.5,ucb,1.302131236684986,0.7349196276659046,46.98392592592593,46.43494556487596,40.49338511346434
1,0.82,0.5,ei,0.9865153156662387,0.5991090940042306,19.82181481481482,19.807206280333688,13.127738165334279
2,0.82,0.5,poi,0.8628442163207494,0.5412182410383716,8.243629629629634,7.763699995569932,3.409433099735936
3,1.55,0.5,ucb,1.3813387977674687,0.45797895970359437,8.404222222222224,8.669556518839618,8.090657512495097
4,1.55,0.5,ei,1.332945837934448,0.42725495219793697,14.549000000000001,16.659743326264227,11.789826643908611
5,1.55,0.5,poi,1.4494989326333687,0.4701953597747515,5.960925925925931,6.60890546172405,5.840662690292145
6,2.48,0.65,ucb,2.829707890859353,0.7343425620803973,12.975783475783473,14.113698838052505,21.772668792892855
7,2.48,0.65,ei,1.5212475244880808,0.4076745482582524,37.28082621082621,34.95502500574337,58.702537474192674
8,2.48,0.65,poi,2.9366166989592335,0.7228785348802717,11.212079772079761,10.85707486231046,22.63308623964349
9,5.96,0.7,ucb,6.5117281488439,0.7345770923800764,4.939576719576725,5.60428399963069,19.07826391252919
10,5.96,0.7,ei,6.560870771833648,0.6943607961438313,0.8056084656084619,7.528638726163347,8.527915618273438
11,5.96,0.7,poi,6.5590527564724646,0.6950799294259529,0.7028835978835873,0.29597632189425893,1.4097293908410513
12,7.79,0.8,ucb,6.502495274200046,0.7372604350985982,7.842453703703706,2.3784573808013563,39.07500680102274
13,7.79,0.8,ei,8.089568830474445,0.8079948450949269,0.9993518518518485,0.5423540020155816,8.183469404706045
14,7.79,0.8,poi,8.045750448774914,0.797642625344863,0.2946759259259274,0.14030305459792355,0.36585637252320996
